구분,강간검거,강간발생,강도검거,강도발생,살인검거,살인발생,절도검거,절도발생,폭력검거,폭력발생,위도,경도,주소,자치구
강남,366,456,16,13,6,6,787,2069,1942,2229,37.5093899463715,127.067070541137,서울 강남구 대치동 998,강남구
강동,169,172,12,10,6,5,949,1645,2109,2429,37.5286763457485,127.126894359114,서울 강동구 성내동 541-1,강동구
강북,153,208,5,7,8,8,635,1014,2023,2156,37.637408362838,127.027340967017,서울 강북구 번동 415-15,강북구
강서,253,316,6,4,11,11,1113,1888,2544,2916,37.5397837301896,126.829985881518,서울 양천구 신월동 25,강서구
관악,323,379,6,7,7,8,1152,1979,2666,3152,37.4745875338795,126.951062346192,서울 관악구 봉천동 1695-5,관악구
광진,208,261,8,13,5,6,1168,2220,1900,2146,37.5428136101647,127.083842771963,서울 광진구 구의동 254-32,광진구
구로,181,328,6,8,8,7,869,1725,2344,2827,37.4948844667899,126.886660285169,서울 구로구 구로동 436,구로구
금천,212,240,5,5,5,5,674,1141,1676,1874,37.45725314643252,126.89674921449215,서울 금천구 시흥동 산 189,금천구
남대문,62,94,3,3,0,1,400,785,780,863,37.5549786547527,126.973499492486,서울 중구 남대문로5가 561,중구
노원,155,180,7,9,4,4,757,1538,2124,2478,37.6423345266253,127.071404832413,서울 노원구 하계동 250,노원구
도봉,115,104,3,3,1,1,417,633,1116,1258,37.6533976253312,127.052708256522,서울 도봉구 창동 17,도봉구
동대문,149,165,5,3,10,11,1017,1547,2093,2249,37.5850804205685,127.045762797538,서울 동대문구 청량리동 229,동대문구
동작,173,396,9,7,1,1,593,1226,1466,1700,37.5131469479959,126.942857105642,서울 동작구 노량진동 72-35,동작구
마포,429,500,8,8,3,3,837,2094,2222,2673,37.5510118582052,126.95394117396,서울 마포구 아현동 618-1,마포구
방배,60,65,5,4,2,1,176,364,466,515,37.48155944749938,126.98300906928465,서울 서초구 방배동 455-10,서초구
서대문,181,202,2,1,4,4,719,1230,1393,1676,37.5649023404956,126.966790740735,서울 서대문구 미근동 165,서대문구
서부,79,93,2,2,3,3,375,553,844,904,37.61273115700761,126.9276766277499,서울 은평구 대조동 2-9,은평구
서초,223,405,2,9,8,8,659,1448,1636,1889,37.4956126696023,127.00528776133,서울 서초구 서초동 1726-1,서초구
성동,106,132,3,3,1,1,543,1072,1378,1559,37.5617947420747,127.036472076258,서울 성동구 행당동 192-8,성동구
성북,72,107,5,5,5,5,332,701,855,1005,37.5897697305228,127.016254625261,서울 성북구 삼선동5가 301,성북구
송파,242,288,3,1,6,6,1026,2274,2593,3007,37.5019775317251,127.127161296581,서울 송파구 가락동 9,송파구
수서,130,151,8,7,1,1,596,1061,1469,1727,37.4934972653425,127.077143044327,서울 강남구 개포동 14,강남구
양천,122,138,2,3,2,3,756,1590,1778,2148,37.5165549067037,126.865542970902,서울 양천구 신정동 321,양천구
영등포,267,455,5,5,13,15,1108,2304,2619,3190,37.52585220719,126.90094457988,서울 영등포구 당산동3가 2-11,영등포구
용산,289,327,4,5,1,1,626,1346,2016,2381,37.5411811395942,126.967778896191,서울 용산구 원효로1가 12-12,용산구
은평,134,137,2,2,3,3,559,834,1206,1352,37.6285242467996,126.928631038584,서울 은평구 불광동 산 24,은평구
종로,103,131,4,5,3,5,360,910,1059,1220,37.5755413947569,126.984898618166,서울 종로구 경운동 90-18,종로구
종암,62,66,3,3,2,2,371,643,772,897,37.602095614954,127.032233767891,서울 성북구 종암동 3-1260,성북구
중랑,144,172,4,3,5,5,813,1533,2426,2858,37.6182390801576,127.10454224897,서울 중랑구 신내동 810,중랑구
중부,87,173,6,6,0,0,489,1061,1024,1198,37.5636199296203,126.98959144113,서울 중구 저동2가 62-1,중구
혜화,70,122,4,5,2,2,298,734,778,923,37.5718915247338,126.998935936567,서울 종로구 인의동 48-57,종로구
