자치구,소계,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2014년 이전,최신증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,5221,195.0,316.0,430,546,765,577,448,2885.0,80.97053726169844,547453,542364,5089,67085,0.9295775162434036,12.254019979797352,0.9536891751438024,2586.344483111444
강동구,1879,387.0,134.0,59,144,194,273,385,883.0,112.79728199320498,431920,427573,4347,58770,1.0064363771068716,13.606686423411743,0.4350342656047416,426.10875884541383
강북구,1265,88.0,141.0,74,145,254,1,319,546.0,131.6849816849817,322915,319164,3751,58196,1.1616059953857827,18.022080113961877,0.39174395738816714,729.1824922333399
강서구,1617,155.0,118.0,230,187,190,264,254,722.0,123.9612188365651,603611,596949,6662,79660,1.103690953279513,13.197241269625637,0.2678877621514518,1177.8408045395895
관악구,3985,56.0,419.0,487,609,619,694,671,1392.0,186.27873563218392,520040,501957,18083,72249,3.47723252057534,13.892969771556036,0.7662872086762557,1428.5374260648568
광진구,1581,42.0,83.0,87,64,21,468,346,682.0,131.8181818181818,371063,355559,15504,45619,4.178266224333873,12.29413873115886,0.42607320050773045,550.5200261523173
구로구,3227,219.0,349.0,187,268,326,540,486,1607.0,100.80896079651525,438486,404497,33989,61801,7.751444743959898,14.094178605474292,0.7359413983570741,903.1623583824667
금천구,1634,17.0,242.0,101,382,136,199,530,387.0,322.22222222222223,254021,233917,20104,35739,7.914306297510835,14.069309230339226,0.6432539042047705,163.66899090796733
노원구,1906,117.0,203.0,80,461,298,110,156,881.0,116.34506242905789,548160,543752,4408,77096,0.8041447752481027,14.06450671336836,0.34770869819030936,730.6721663128465
도봉구,858,66.0,8.0,185,59,155,117,71,456.0,88.1578947368421,341649,339413,2236,55964,0.6544728654262122,16.380554311588792,0.251134936733314,1189.6194233714582
동대문구,2003,0.0,0.0,1326,111,233,136,197,0.0,0.0,364338,348052,16286,57165,4.470025086595414,15.690100950216557,0.5497642299183725,109.3376111900111
동작구,1780,93.0,29.0,503,130,254,278,255,863.0,106.25724217844727,409385,396203,13182,59479,3.2199518790380695,14.528866470437363,0.4347985392723231,460.8298411984888
마포구,1935,108.0,69.0,70,177,359,372,195,832.0,132.5721153846154,386359,375077,11282,50833,2.9200820998087273,13.156934353800482,0.5008295393662371,240.1503933290369
서대문구,2121,233.0,214.0,114,109,277,415,194,1126.0,88.36589698046181,323080,310313,12767,50456,3.9516528414015104,15.61718459824192,0.6564937476785935,126.34686115420209
서초구,2835,91.0,228.0,134,215,352,247,396,1625.0,74.46153846153845,438163,433951,4212,54751,0.9612860967265607,12.49557812960017,0.6470194881813389,512.0836847813998
성동구,2679,109.0,118.0,101,258,201,933,294,993.0,169.78851963746223,316463,308221,8242,42767,2.6044118901735747,13.514060095492997,0.8465444617538228,703.2212165156268
성북구,3003,84.0,304.0,241,279,388,285,643,1408.0,113.28125,447687,435868,11819,67782,2.6400141170058546,15.14048877899068,0.6707811484362959,652.9173918295774
송파구,1586,99.0,88.0,21,166,100,116,396,808.0,96.28712871287128,673507,666635,6872,81364,1.0203308948533572,12.080646526316727,0.23548381828251227,1408.212414384253
양천구,2775,161.0,185.0,169,172,349,137,830,1287.0,115.61771561771562,468145,464185,3960,58045,0.8458917643037948,12.398936227023679,0.5927650621068259,366.5629166921999
영등포구,2495,121.0,206.0,217,366,289,371,793,676.0,269.0828402366864,403600,367778,35822,55673,8.87561942517344,13.79410307234886,0.6181863230921705,270.67131427466256
용산구,2063,152.0,201.0,107,102,89,60,73,1739.0,18.63139735480161,245090,228999,16091,37640,6.5653433432616595,15.357623730058345,0.8417316087967684,290.8058266427179
은평구,2962,83.0,99.0,343,180,296,229,367,1890.0,56.719576719576715,487666,483197,4469,77420,0.9164059007599463,15.875619788953916,0.60738292191787,497.8811438328421
종로구,1471,7.0,599.0,132,195,148,281,101,746.0,97.18498659517427,163026,153065,9961,26742,6.110068332658594,16.40351845717861,0.9023100609718695,67.11451514661985
중구,1544,165.0,114.0,80,245,270,317,328,384.0,302.08333333333337,135633,125725,9908,22005,7.305006893602589,16.223927805180153,1.1383660318654014,84.02137973255594
중랑구,1068,0.0,0.0,770,102,121,66,9,0.0,0.0,408147,403209,4938,61830,1.209858212849782,15.14895368580438,0.2616704275665385,1169.2985654031972
